,"Кол-во организаций предоставивших отчет, ед.","Общ. Объем израсходованных денежных средств по всем видам деятельности, тыс. руб",Расходы по финансированию долгосрочных инвестиций,Долгосрочные инвестиции по обычным видам деятельности,Расходы на финансирование затрат по капитальным вложениям,Расходы на создание и преобретение программного обеспечеия ЭВМ,Расходы на научно-исследовательские и опытные конструкторские работы,"Расходы обслуживающих производств и хозяйств, состоящих на балансе",Текущие расходы на содержание объектов санаторно-курортных учреждений,Текущие расходы на содержание садов и яслей,"Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей",Текущие расоды на содержание объектов физкультурно-оздоровительной деятельности,Текущие расходы на содержание объектов образования,Текущие расходы на содержание учреждений клубного типа,Расходы на предоставление услуг лечебных санаторно-курортных учреждений,Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений,"Расходы по предоставлению услуг пансионатов домов отдыха, детских лагерей",Расходы по предоставлению услуг физкультурно-оздоровительной деятельности,Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности,Расходы по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа,Выплаты социального характера работникам,"Надбавки к пенсиям, единовременные пособия уходящим на пенсию",Благотворительные цели,"перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет",Представительские расходы,Оплата услуг банков и других финансово кредитных учреждений,Оплата услуг рекламных агенств и аудиторских организаций,Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
        деятельность железнодорожного транспорта: грузовые перевозки,166,1954382438,170148035,96416611,40316304,173952,51982,8096390,1024686,233728,1029863,258962,1263646,500656,1163895,348634,1417618,511789,287379,38540,172218,54512,592373,82006,2169435,664850,1829295,50296531,72588,465076
       деятельность прочего сухопутного пассажирского транспорта,789,1236761940,383306756,382193475,373410662,74303,6309,767687,7973,-,52057,39368,13708,171,7765,7262,39036,12751,137368,329,68274,66728,-,-,3031161,414793,1413541,26908529,12277,1479617
       деятельность автомобильного грузового транспорта и услуги по перевозкам,697,1288191631,65719711,61388683,44735914,271922,-,275215,-,-,224,1905,669,-,2966,999,-,-,2029,26,3737,3599,-,-,959161,103718,84803,59787,90366,3888546
      деятельность трубопроводного транспорта,60,3625125499,375521213,326743526,200148577,5356731,5189497,7356809,1653685,18945,334925,614523,4106,225669,1895233,356197,421687,56739,460495,52282,80459,829,805510,8493,18688453,3980436,11262252,14634683,25196,172877
  деятельность водного транспорта,196,389071324,25803464,24983369,23198971,182190,1600,136028,-,-,20037,10791,186,-,362,-,27247,10247,1126,1126,16077,15643,-,-,247129,15425,163808,115087,50261,371099
 деятельность воздушного и космического транспорта,110,1952736249,89469810,74302042,12528655,106318,-,1263100,11195,10905,12138,-,-,-,695901,646056,2181,-,438540,173,18934,15354,-,-,2698513,194586,35642,3499912,102366,6670298
складское хозяйство и вспомогательная транспортная деятельность,2167,6590098809,563759194,467493842,340400335,3795234,786349,4767695,172161,11463,80929,55486,4599,4189,211765,134183,94681,32491,23624,7482,78690,68254,-,-,14249430,4285696,2490561,504624369,492377,5298213
 деятельность почтовой связи и курьерская деятельность,113,668268173,12276211,12276211,9791087,1885518,-,3821,-,-,1313,-,-,-,-,-,-,-,-,-,-,-,-,-,777520,20691,15498,-,13187,1117313
 ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,1283,1019926053,90315987,72113969,59547665,397105,-,5364285,24690,-,108663,7008,-,-,80572,31265,413911,118471,23255,20748,3025,2814,-,-,1409683,52157,303158,3683540,571863,4604685
  деятельность по предоставлению мест для временного проживания,646,348002948,64787307,48820577,45284815,75186,-,2405305,24690,-,108663,7008,-,-,71375,26867,411469,116101,22832,20333,2466,2466,-,-,1170868,30151,204223,27216,48675,1626986
   деятельность по предоставлению продуктов питания и напитков,637,671923105,25528680,23293392,14262850,321919,-,2958980,-,-,-,-,-,-,9197,4398,2442,2370,423,415,559,348,-,-,238815,22006,98935,3656324,523188,2977699
 ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,3711,16133490321,1903099406,1645525102,529270615,102662024,5106326,4703383,16898,-,197883,3907,8986,232,3069,3069,222822,67726,1184,68,82557,74602,4055,4055,9796729,467756,6449324,60472748,1537037,7917153
   деятельность издательская,752,316327872,7910060,6289986,2881373,511993,-,755,-,-,-,-,-,-,640,640,15,15,-,-,100,-,-,-,117254,2423,95941,4195,105435,1051925
   деятельность в сфере телекоммуникаций,485,2929957175,598761877,545579565,346046091,65744460,816915,181730,-,-,116764,3595,6337,232,-,-,4233,2571,-,-,3655,771,-,-,4434024,302526,5476173,24270834,189002,1508140
  деятельность в области информационных технологий,567,5555025340,281410083,178562520,68608163,11829346,458930,13119,8932,-,646,-,1007,-,-,-,27,-,-,-,2507,945,-,-,1474977,26455,308898,407206,248294,1496758
 ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,2290,78893443926,15135061456,13336909982,969694065,14035813,1957971,1165158,1743,-,-,-,-,-,6823,631,303,-,1033,1024,11704,10559,41,41,5907416,123008,20710408,94235319,737411,15177825
